uid,ano,titulo,descricao,fonte,tecnologia_base,potencia_kw
"ev-001","1642","Pascal constrói a Pascaline","Primeira calculadora mecânica funcional amplamente documentada para automação aritmética administrativa.","https://www.computerhistory.org/timeline/computers/","Pascaline","NULL"
"ev-002","1703","Publicação da aritmética binária de Leibniz","Leibniz publica descrição formal do sistema binário, articulando representação simbólica mínima para cálculo mecânico e lógico.","https://archive.org/details/actaeruditorum17unse/page/248/mode/2up","Sistema Binário de Leibniz","NULL"
"ev-003","1804","Difusão do tear de Jacquard","Uso de cartões perfurados em controle de máquinas demonstra programação física reconfigurável.","https://www.britannica.com/technology/Jacquard-loom","Tear de Jacquard","NULL"
"ev-004","1837","Projeto da Analytical Engine","Babbage propõe arquitetura mecânica geral com memória, unidade de processamento e controle condicional.","https://www.computerhistory.org/babbage/","Analytical Engine","NULL"
"ev-005","1854","Formalização da lógica booleana","George Boole publica obra que transforma lógica em álgebra, permitindo futuras implementações físicas em circuitos de comutação.","https://archive.org/details/aninvestigationo00booluoft","Lógica Booleana","NULL"
"ev-006","1936","Fundação formal da computabilidade","Turing define modelo matemático de computação efetiva e demonstra limites de decidibilidade.","https://doi.org/10.1112/plms/s2-42.1.230","Máquina de Turing e Computabilidade","NULL"
"ev-007","1947","Demonstração do transistor","Bell Labs demonstra transistor, iniciando a substituição de válvulas por semicondutores.","https://www.nobelprize.org/prizes/physics/1956/summary/","Transistor de Junção","NULL"
"ev-008","1948","Nascimento da teoria da informação","Shannon estabelece entropia, capacidade de canal e limites de comunicação confiável sob ruído.","https://ieeexplore.ieee.org/document/6773024","Teoria da Informação","NULL"
"ev-009","1958","Primeiro circuito integrado funcional","Kilby demonstra integração de componentes em um único chip, reduzindo interconexões discretas.","https://www.nobelprize.org/prizes/physics/2000/kilby/facts/","Circuito Integrado","NULL"
"ev-010","1959","Introdução do processo planar","Jean Hoerni introduz processo planar, elevando confiabilidade e fabricação escalável de circuitos integrados.","https://www.computerhistory.org/siliconengine/planar-process-paves-the-way-for-integrated-circuits/","Processo Planar em Silício","NULL"
"ev-011","1971","Lançamento do Intel 4004","Microprocessador comercial integra CPU em chip único, abrindo caminho para sistemas embarcados e PCs.","https://www.intel.com/content/www/us/en/history/museum-story-of-intel-4004.html","Microprocessador","NULL"
"ev-012","1973","Primeira especificação da Ethernet","Padronização inicial de LAN de alta velocidade para comunicação local robusta.","https://www.computerhistory.org/internethistory/","Ethernet","NULL"
"ev-013","1983","Flag Day da ARPANET (NCP para TCP/IP)","Migração coordenada para TCP/IP permite internetworking de múltiplas redes e consolida base técnica da Internet.","https://www.internetsociety.org/internet/history-internet/brief-history-internet/","Protocolo TCP/IP","NULL"
"ev-014","1989","Proposta da World Wide Web","Berners-Lee propõe arquitetura web (URL/HTTP/HTML), ampliando acesso civil à Internet.","https://home.cern/science/computing/birth-web","World Wide Web","NULL"
"ev-015","1997","Publicação do LSTM","Arquitetura recorrente resolve parcialmente dependências longas com células de memória e portas.","https://www.bioinf.jku.at/publications/older/2604.pdf","LSTM","NULL"
"ev-016","2006","Escala de GPU para deep learning","Uso de GPUs programáveis acelera treinamento de redes neurais em larga escala.","https://developer.nvidia.com/cuda-zone","GPU Programável","NULL"
"ev-017","2014","Introdução das GANs","Modelo adversarial redefine geração de dados sintéticos realistas em visão e áudio.","https://papers.neurips.cc/paper/2014/hash/f033ed80deb0234979a61f95710dbe25-Abstract.html","GANs","NULL"
"ev-018","2017","Attention Is All You Need","Introdução de atenção auto-regressiva e paralelismo que redefinem desempenho em tarefas de linguagem.","https://arxiv.org/abs/1706.03762","Arquitetura Transformer","NULL"
"ev-019","2020","Consolidação de scaling laws","Resultados empíricos quantificam ganhos previsíveis de modelos maiores com mais dados e compute.","https://arxiv.org/abs/2001.08361","Scaling Laws para LLMs","NULL"
"ev-020","2022","Popularização massiva de IA generativa","Interfaces conversacionais baseadas em LLM tornam capacidades de geração de texto amplamente acessíveis.","https://openai.com/index/chatgpt/","Modelos GPT","NULL"
